Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$183.05,-1.27,-0.689%,2806903710100.00,United States,1980,50727117,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$482.29,-0.36,-0.075%,216065920000.00,United States,1986,2740802,Technology,Computer Software: Prepackaged Software
AMD,Advanced Micro Devices Inc. Common Stock,$151.92,-0.47,-0.308%,245550403282.00,United States,,37602851,Technology,Semiconductors
AMZN,Amazon.com Inc. Common Stock,$187.48,-2.02,-1.066%,1951034507764.00,United States,1997,34121245,Consumer Discretionary,Catalog/Specialty Distribution
ASML,ASML Holding N.V. New York Registry Shares,$930.29,16.75,1.834%,365996292829.00,Netherlands,1995,813847,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,$1332.80,27.13,2.078%,617647824674.00,United States,2009,1629599,Technology,Semiconductors
AZN,AstraZeneca PLC American Depositary Shares,$77.18,-0.43,-0.554%,239287226214.00,United Kingdom,,3606496,Health Care,Biotechnology: Pharmaceutical Preparations
COST,Costco Wholesale Corporation Common Stock,$787.19,8.15,1.046%,349121942099.00,United States,,1651891,Consumer Discretionary,Department/Specialty Retail Stores
GOOG,Alphabet Inc. Class C Capital Stock,$170.29,-1.29,-0.752%,2104443820000.00,United States,2004,18726495,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$168.65,-1.31,-0.771%,2084176700000.00,United States,2004,29773279,Technology,Computer Software: Programming Data Processing
LIN,Linde plc Ordinary Shares,$434.39,4.53,1.054%,208800969704.00,United States,,1234455,Industrials,Major Chemicals
META,Meta Platforms Inc. Class A Common Stock,$476.20,0.78,0.164%,1207897581754.00,United States,2012,10733725,Technology,Computer Software: Programming Data Processing
MSFT,Microsoft Corporation Common Stock,$414.74,2.42,0.587%,3082474505004.00,United States,1986,13395346,Technology,Computer Software: Prepackaged Software
NFLX,Netflix Inc. Common Stock,$610.87,-1.22,-0.199%,263263584052.00,United States,2002,2651197,Consumer Discretionary,Consumer Electronics/Video Chains
NVDA,NVIDIA Corporation Common Stock,$898.78,11.31,1.274%,2246950000000.00,United States,1999,33454369,Technology,Semiconductors
PEP,PepsiCo Inc. Common Stock,$179.79,1.73,0.972%,247172771344.00,United States,,4201633,Consumer Staples,Beverages (Production/Distribution)
QCOM,QUALCOMM Incorporated Common Stock,$182.08,1.54,0.853%,203201280000.00,United States,1991,4699656,Technology,Radio And Television Broadcasting And Communications Equipment
TSLA,Tesla Inc. Common Stock,$168.47,-3.50,-2.035%,537283878254.00,United States,2010,72344931,Consumer Discretionary,Auto Manufacturing
